Time,"STREAMS(""FEED"").Fv","STREAMS(""DIST"").Fv","STREAMS(""BOTTOMS"").Fv"
Hours,m3/hr,m3/hr,m3/hr
2.73,117.107,55.5719,67.6868
2.74,117.114,55.5702,67.6966
2.75,117.121,55.5685,67.7064
2.76,117.128,55.5669,67.7161
2.77,117.135,55.5652,67.7259
2.78,117.142,55.5635,67.7353
2.79,117.15,55.5618,67.7446
2.8,117.157,55.5601,67.7539
2.81,117.163,55.5584,67.7633
2.82,117.17,55.5567,67.7726
2.83,117.177,55.5551,67.7815
2.84,117.183,55.5536,67.7904
2.85,117.19,55.552,67.7992
2.86,117.196,55.5505,67.8081
2.87,117.203,55.5489,67.817
2.88,117.209,55.5474,67.8259
2.89,117.216,55.5458,67.8343
2.9,117.222,55.5443,67.8428
2.91,117.228,55.5427,67.8512
2.92,117.234,55.5412,67.8597
2.93,117.241,55.5398,67.8682
2.94,117.247,55.5384,67.8763
2.95,117.253,55.5369,67.8844
2.96,117.259,55.5355,67.8924
2.97,117.265,55.5341,67.9005
2.98,117.27,55.5327,67.9086
2.99,117.276,55.5313,67.9164
3,117.282,55.5299,67.9241
3.01,117.288,55.5285,67.9318
3.02,117.293,55.5271,67.9396
3.03,117.299,55.5256,67.9473
3.04,117.305,55.5243,67.9547
3.05,117.31,55.523,67.9622
3.06,117.316,55.5217,67.9696
3.07,117.321,55.5203,67.9771
3.08,116.161,55.5348,68.0119
3.09,116.124,55.5624,67.848
3.1,116.099,55.5957,67.5047
3.11,116.071,55.6291,67.1935
3.12,116.044,55.6606,66.9721
3.13,116.02,55.6893,66.8133
3.14,115.995,55.7168,66.6742
3.15,115.973,55.7397,66.5846
3.16,115.951,55.7626,66.495
3.17,115.929,55.7825,66.4226
3.18,115.909,55.7994,66.3665
3.19,115.888,55.8163,66.3105
3.2,115.868,55.8333,66.2545
3.21,115.849,55.8468,66.2093
3.22,115.831,55.8588,66.1696
3.23,115.812,55.8707,66.1299
3.24,115.794,55.8826,66.0902
3.25,115.776,55.8946,66.0505
3.26,115.758,55.9046,66.0148
3.27,115.741,55.9136,65.9811
3.28,115.724,55.9226,65.9474
3.29,115.707,55.9316,65.9137
3.3,115.689,55.9406,65.88
3.31,115.672,55.9483,65.8504
3.32,115.656,55.9552,65.8229
3.33,115.641,55.9622,65.7954
3.34,115.625,55.9691,65.7678
3.35,115.609,55.976,65.7403
3.36,115.593,55.9818,65.7153
3.37,115.578,55.9875,65.6915
3.38,115.563,55.993,65.6678
3.39,115.548,55.9985,65.644
3.4,115.533,56.004,65.6202
3.41,115.518,56.0088,65.5981
3.42,115.504,56.0135,65.5768
3.43,115.49,56.0179,65.5555
3.44,115.475,56.0224,65.5342
3.45,115.461,56.0268,65.5129
3.46,115.447,56.0313,65.493
